NAMESPACE                    NAME                                                       READY   STATUS    RESTARTS       AGE
kube-system                  coredns-7c65d6cfc9-dkrl8                                   1/1     Running   5 (51m ago)    3d20h
kube-system                  coredns-7c65d6cfc9-p944w                                   1/1     Running   5 (51m ago)    3d20h
kube-system                  etcd-supportplane-local-control-plane                      1/1     Running   4 (51m ago)    3d17h
kube-system                  kindnet-b22zl                                              1/1     Running   5 (51m ago)    3d20h
kube-system                  kube-apiserver-supportplane-local-control-plane            1/1     Running   17 (51m ago)   3d17h
kube-system                  kube-controller-manager-supportplane-local-control-plane   1/1     Running   21 (51m ago)   3d20h
kube-system                  kube-proxy-56jnx                                           1/1     Running   5 (51m ago)    3d20h
kube-system                  kube-scheduler-supportplane-local-control-plane            1/1     Running   20 (51m ago)   3d20h
local-path-storage           local-path-provisioner-6fdc965494-tvjgz                    1/1     Running   6 (51m ago)    3d20h
supportplane-app             supportplane-api-6f4bbb5c68-j5sbq                          1/1     Running   0              6m39s
supportplane-app             supportplane-web-fdd9f7cdd-n6fp2                           1/1     Running   0              6m39s
supportplane-app             supportplane-worker-57cb48575c-5xwk8                       1/1     Running   0              6m39s
supportplane-data            minio-855cfdc549-grxrr                                     1/1     Running   5 (51m ago)    3d19h
supportplane-data            postgres-0                                                 1/1     Running   5 (51m ago)    3d19h
supportplane-integrations    asterisk-68c84fb9f5-rw2j9                                  1/1     Running   4 (51m ago)    2d20h
supportplane-integrations    keycloak-5bcffcb659-2rxsw                                  1/1     Running   3 (51m ago)    2d15h
supportplane-integrations    keycloak-postgres-7db8f997f5-rvpms                         1/1     Running   4 (51m ago)    2d17h
supportplane-integrations    mailpit-6bc6cdfb55-4c26r                                   1/1     Running   5 (51m ago)    3d19h
supportplane-integrations    nats-0                                                     1/1     Running   4 (51m ago)    3d15h
supportplane-integrations    openbao-5bc456ddfc-ks44c                                   1/1     Running   5 (51m ago)    3d19h
supportplane-integrations    zammad-0                                                   1/1     Running   11 (51m ago)   3d18h
supportplane-integrations    zammad-postgres-0                                          1/1     Running   5 (51m ago)    3d19h
supportplane-integrations    zammad-redis-bb685c5fb-zrxz2                               1/1     Running   5 (51m ago)    3d19h
supportplane-observability   grafana-745d7b9546-zzrfq                                   1/1     Running   4 (51m ago)    3d1h
supportplane-observability   loki-85f59df588-8hmj7                                      1/1     Running   4 (51m ago)    3d1h
supportplane-observability   otel-collector-5499c8ccc9-kt7dr                            1/1     Running   4 (51m ago)    3d1h
supportplane-observability   prometheus-68bdbfb7ff-2kkcl                                1/1     Running   4 (51m ago)    3d1h
